bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
Nuevos Negocios,Cloud,M365,287738,Office 365 Enterprise E3 NCE Compromiso Anual -Pago Mensual,,,189.79
Nuevos Negocios,Cloud,M365,287741,Office 365 Enterprise E3 NCE Flexible,,,30.12
Nuevos Negocios,Cloud,M365,287762,Exchange Online Plan 1 NCE Compromiso Anual -Pago Mensual,,,28.01
Nuevos Negocios,Cloud,M365,287765,Exchange Online Plan 1 NCE Flexible,,,4.44
Nuevos Negocios,Cloud,M365,287768,Exchange Online Plan 2 NCE Compromiso Anual -Pago Mensual,,,56.74
Nuevos Negocios,Cloud,M365,287771,Exchange Online Plan 2 NCE Flexible,,,9.0
Nuevos Negocios,Cloud,M365,287792,Exchange Online Kiosk NCE Compromiso Anual -Pago Mensual,,,14.11
Nuevos Negocios,Cloud,M365,287795,Exchange Online Kiosk NCE Flexible,,,2.24
Nuevos Negocios,Cloud,M365,287864,Power Apps per user plan NCE Compromiso Anual -Pago Mensual,,,141.41
Nuevos Negocios,Cloud,M365,287867,Power Apps per user plan NCE Flexible,,,22.44
Nuevos Negocios,Cloud,M365,287888,Azure Active Directory Premium P1 NCE Compromiso Anual -Pago Mensual,,,42.34
Nuevos Negocios,Cloud,M365,287891,Azure Active Directory Premium P1 NCE Flexible,,,6.79
Nuevos Negocios,Cloud,M365,287948,Project Plan 5 NCE Compromiso Anual -Pago Mensual,,,389.38
Nuevos Negocios,Cloud,M365,287951,Project Plan 5 NCE Flexible,,,61.8
Nuevos Negocios,Cloud,M365,287954,Project Plan 3 NCE Compromiso Anual -Pago Mensual,,,212.47
Nuevos Negocios,Cloud,M365,287957,Project Plan 3 NCE Flexible,,,33.72
Nuevos Negocios,Cloud,M365,287960,Project Online Essentials Compromiso Anual -Pago Mensual,,,49.9
Nuevos Negocios,Cloud,M365,287963,Project Online Essentials Flexible,,,7.92
Nuevos Negocios,Cloud,M365,287999,Power BI Pro NCE Flexible,,,11.8
Nuevos Negocios,Cloud,M365,288014,OneDrive for Business (Plan 1) NCE Compromiso Anual -Pago Mensual,,,35.57
Nuevos Negocios,Cloud,M365,288017,OneDrive for Business (Plan 1) NCE Flexible,,,5.64
Nuevos Negocios,Cloud,M365,288092,Microsoft 365 E3 NCE Pago Mensual,,,285.05
Nuevos Negocios,Cloud,M365,288095,Microsoft 365 E3 NCE Flexible,,,47.16
Nuevos Negocios,Cloud,M365,288494,Visio Online Plan 2 NCE Compromiso Anual - Pago Mensual,,,105.84
Nuevos Negocios,Cloud,M365,288497,Visio Online Plan 2 NCE Flexible,,,16.8
Nuevos Negocios,Cloud,M365,288500,Visio Online Plan 1 NCE Compromiso Anual - Pago Mensual,,,35.57
Nuevos Negocios,Cloud,M365,288503,Visio Online Plan 1 NCE Flexible,,,5.64
Nuevos Negocios,Cloud,M365,288959,Microsoft 365 F3 NCE Compromiso Anual - Pago Mensual,,,56.74
Nuevos Negocios,Cloud,M365,288962,Microsoft 365 F3 NCE Flexible,,,9.0
Nuevos Negocios,Cloud,M365,289508,Intune NCE Compromiso Anual -Pago Mensual,,,54.0
Nuevos Negocios,Cloud,M365,289511,Intune NCE Flexible,,,9.0
Nuevos Negocios,Cloud,M365,289514,Intune Device NCE Compromiso Anual -Pago Mensual,,,18.0
Nuevos Negocios,Cloud,M365,289517,Intune Device NCE Flexible,,,3.0
Nuevos Negocios,Cloud,M365,289523,Microsoft Defender for Office 365 (Plan 1) NCE Compromiso Anual -Pago Mensual,,,14.11
Nuevos Negocios,Cloud,M365,291986,Microsoft Defender for Office 365 (Plan 1) NCE Flexible,,,2.24
Nuevos Negocios,Cloud,M365,292184,Office 365 Extra File Storage NCE Compromiso Anual -Pago Mensual,,,1.44
Nuevos Negocios,Cloud,M365,292187,Office 365 Extra File Storage NCE Flexible,,,0.23
Nuevos Negocios,Cloud,M365,369711,Vodafone M365 Business Standard NCE Compromiso Anual -Pago Mensual,,,132.73
Nuevos Negocios,Cloud,M365,370275,Vodafone M365 Business Basic NCE Compromiso Anual -Pago Mensual,,,63.5
Nuevos Negocios,Cloud,M365,370276,Vodafone M365 Business Premium NCE Compromiso Anual -Pago Mensual,,,233.6
Nuevos Negocios,Cloud,M365,387174,Vodafone M365 Business Standard NCE Flexible actualizada,,,14.04
Nuevos Negocios,Cloud,M365,389037,M365 Business Basic NCE Compromiso Anual -Pago Mensual SinTeams,,,34.78
Nuevos Negocios,Cloud,M365,389038,M365 Business Basic NCE Flexible SinTeams,,,5.52
Nuevos Negocios,Cloud,M365,389039,M365 Business Standard NCE Compromiso Anual -Pago Mensual SinTeams,,,73.37
Nuevos Negocios,Cloud,M365,389040,M365 Business Standard NCE Flexible SinTeams,,,11.64
Nuevos Negocios,Cloud,M365,389041,M365 Business Premium NCE Compromiso Anual -Pago Mensual SinTeams,,,140.62
Nuevos Negocios,Cloud,M365,389042,M365 Business Premium NCE Flexible SinTeams,,,22.32
Nuevos Negocios,Cloud,M365,389049,Vodafone M365 Business Basic NCE Anual SinTeams,,,52.16
Nuevos Negocios,Cloud,M365,389050,Vodafone M365 Business Basic NCE Flexible SinTeams,,,5.52
Nuevos Negocios,Cloud,M365,389051,Vodafone M365 Business Standard NCE Anual SinTeams,,,110.05
Nuevos Negocios,Cloud,M365,389052,Vodafone M365 Business Standard NCE Flexible SinTeams,,,11.64
Nuevos Negocios,Cloud,M365,389053,Vodafone M365 Business Premium NCE Anual SinTeams,,,210.92
Nuevos Negocios,Cloud,M365,389054,Vodafone M365 Business Premium NCE Flexible SinTeams,,,22.32
Nuevos Negocios,Cloud,M365,389067,Office 365 E1 NCE Compromiso Anual -Pago Mensual SinTeams,,,55.94
Nuevos Negocios,Cloud,M365,389068,Office 365 E1 NCE Flexible SinTeams,,,8.88
Nuevos Negocios,Cloud,M365,389069,Office 365 E3 NCE Compromiso Anual -Pago Mensual SinTeams,,,174.67
Nuevos Negocios,Cloud,M365,389070,Office 365 E3 NCE Flexible SinTeams,,,27.72
Nuevos Negocios,Cloud,M365,389071,Office 365 E5 NCE Compromiso Anual -Pago Mensual SinTeams,,,298.66
Nuevos Negocios,Cloud,M365,389072,Office 365 E5 NCE Flexible SinTeams,,,47.4
Nuevos Negocios,Cloud,M365,389081,Microsoft 365 F3 NCE Compromiso Anual - Pago Mensual SinTeams,,,52.92
Nuevos Negocios,Cloud,M365,389082,Microsoft 365 F3 NCE Flexible SinTeams,,,8.4
Nuevos Negocios,Cloud,M365,389083,Microsoft 365 E5 NCE Compromiso Anual - Pago Mensual SinTeams,,,436.25
Nuevos Negocios,Cloud,M365,389084,Microsoft 365 E5 NCE Flexible SinTeams,,,69.24
Nuevos Negocios,Cloud,M365,389085,Microsoft 365 E3 NCE Compromiso Anual - Pago Mensual SinTeams,,,269.93
Nuevos Negocios,Cloud,M365,389086,Microsoft 365 E3 NCE Flexible SinTeams,,,42.84
Nuevos Negocios,Cloud,M365,389087,Microsoft 365 F1 NCE Compromiso Anual - Pago Mensual SinTeams,,,12.1
Nuevos Negocios,Cloud,M365,389088,Microsoft 365 F1 NCE Flexible SinTeams,,,1.92
Nuevos Negocios,Cloud,M365,389221,Office 365 F3 NCE Compromiso Anual -Pago Mensual SinTeams,,,24.19
Nuevos Negocios,Cloud,M365,389222,Office 365 F3 NCE Flexible SinTeams,,,3.84
Nuevos Negocios,Cloud,M365,389225,Microsoft Teams NCE Compromiso Anual - Pago Mensual,,,37.8
Nuevos Negocios,Cloud,M365,389226,Microsoft Teams NCE Flexible,,,6.0
Nuevos Negocios,Cloud,M365,391834,Vodafone M365 Business Basic NCE Flexible actualizada,,,6.72
Nuevos Negocios,Cloud,M365,391835,Vodafone M365 Business Premium NCE Flexible actualizada,,,24.72
Nuevos Negocios,Cloud,M365,398991,Vodafone M365 Business Premium NCE PAGO ANUAL,,,233.64
Nuevos Negocios,Cloud,M365,461356,Vodafone M365 Business Standard NCE PAGO ANUAL SinTeams,,,110.04
Nuevos Negocios,Cloud,M365,461357,Vodafone M365 Business Basic NCE PAGO ANUAL,,,63.48
Nuevos Negocios,Cloud,M365,461358,Vodafone M365 Business Premium NCE PAGO ANUAL SinTeams,,,210.96
Nuevos Negocios,Cloud,M365,461359,Vodafone M365 Business Basic NCE PAGO ANUAL SinTeams,,,52.2
Nuevos Negocios,Cloud,M365,461887,Vodafone M365 Business Standard NCE PAGO ANUAL,,,132.72
Nuevos Negocios,Cloud,M365,337001,Microsoft Teams Essentials NCE,,,28.01
Nuevos Negocios,Cloud,M365,337004,Microsoft Teams Essentials NCE Flexible,,,4.44
Nuevos Negocios,IA,IAgente,487686,IAgente - Paquete estándar,,,1602.12
Nuevos Negocios,IA,IAgente,487691,IAgente - Puerto de voz adicional,,,85.0
Nuevos Negocios,IA,IAgente,488743,IAgente - Configuración a Medida,,,0.4
Nuevos Negocios,IPVPN,CA,258803,CA Camara MV12W,,,1042.8
Nuevos Negocios,IPVPN,CA,258806,CA Camara MV32,,,1143.6
Nuevos Negocios,IPVPN,CA,258809,CA Camara MV2,,,843.6
Nuevos Negocios,IPVPN,CA,258824,CA Cloud Talla M 2Y,,,1612.8
Nuevos Negocios,IPVPN,CA,258827,CA Cloud Talla S 2Y,,,495.6
Nuevos Negocios,IPVPN,CA,258842,CA Wifi MR36,,,650.4
Nuevos Negocios,IPVPN,CA,258845,CA Wifi MR20,,,499.2
Nuevos Negocios,IPVPN,CA,258860,CA Switch MS120-48P,,,1663.2
Nuevos Negocios,IPVPN,CA,258863,CA Switch MS120-24P,,,1058.4
Nuevos Negocios,IPVPN,CA,258866,CA Switch MS120-8P,,,550.8
Nuevos Negocios,Seguridad,Auditoría,461438,Auditoria Ciberseguridad,,,630.0
Nuevos Negocios,Seguridad,Auditoría,474626,Auditoria Ciberseguridad Avanzada,,,630.0
Nuevos Negocios,Seguridad,Auditoría,474628,Auditoria Ciberseguridad Avanzada Mensualizada (6 meses),,,580.0
Nuevos Negocios,Seguridad,Lookout,167428,Lookout MTD for Small Business 12 meses,,,21.84
Nuevos Negocios,Seguridad,Lookout,167431,Lookout MTD for Small Business 24 meses,,,21.84
Nuevos Negocios,Seguridad,Lookout,167434,Lookout MTD for Small Business 36 meses,,,21.84
Nuevos Negocios,Seguridad,Lookout,238525,Lookout MTD Essentials 12 meses,,,31.2
Nuevos Negocios,Seguridad,Lookout,238528,Lookout MTD Essentials 24 meses,,,31.2
Nuevos Negocios,Seguridad,Lookout,238531,Lookout MTD Essentials 36 meses,,,31.2
Nuevos Negocios,Seguridad,Seguridad Digital,454342,Seguridad Digital - 24 meses,,,98.16
Nuevos Negocios,Seguridad,Seguridad Digital Plus,359222,Seguridad Digital Plus (Empleado),,,60.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,359225,Seguridad Digital Plus (Empresa),,,223.44
Nuevos Negocios,Seguridad,Seguridad Digital Plus,363919,EDR Worry Free Services 12 Meses (SD +),,,35.76
Nuevos Negocios,Seguridad,Seguridad Digital Plus,402538,Small Business 12 meses (SD +),,,27.36
Nuevos Negocios,Seguridad,Seguridad Digital Plus,402539,Essentials 12 meses (SD +),,,39.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,408863,Cisco As a Service Advance,,,720.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,408865,Cisco As a Service Premium,,,900.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,408867,Cisco As a Service Essential,,,560.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,457973,Seguridad Digital Plus (Empleado) - 24 meses,,,60.0
Nuevos Negocios,Seguridad,Seguridad Digital Plus,457974,Seguridad Digital Plus (Empresa) - 24 meses,,,223.44
Nuevos Negocios,Seguridad,Seguridad Digital Plus,464950,EDR Worry Free Services Advanced 24 Meses (SD +),,,35.76
Nuevos Negocios,Seguridad,SOC,479203,Seguridad Digital Plus SOC (Empresa Premium) - 24 meses,,,824.76
Nuevos Negocios,Seguridad,SOC,479202,Seguridad Digital Plus SOC (Empresa Avanzado) - 24 meses,,,326.4
Nuevos Negocios,Seguridad,SOC,479204,Seguridad Digital Plus SOC - 24 meses,,,42.0
Nuevos Negocios,Seguridad,TrendMicro,175459,Worry-Free XDR (36 Months),,,98.64
Nuevos Negocios,Seguridad,TrendMicro,175462,Worry Free Services XDR 2 Años,,,87.84
Nuevos Negocios,Seguridad,TrendMicro,175465,Worry Free Services XDR 1 Año,,,87.84
Nuevos Negocios,Seguridad,TrendMicro,175471,Worry-Free Services Advanced (36 Months),,,68.04
Nuevos Negocios,Seguridad,TrendMicro,175474,EDR Worry Free Services Advanced 2 Años,,,57.24
Nuevos Negocios,Seguridad,TrendMicro,175477,EDR Worry Free Services Advanced 1 Año,,,57.24
Nuevos Negocios,Seguridad,TrendMicro,175483,Worry-Free Services (36 Months),,,42.0
Nuevos Negocios,Seguridad,TrendMicro,175486,EDR Worry Free Services 2 Años,,,31.2
Nuevos Negocios,Seguridad,TrendMicro,175489,EDR Worry Free Services 1 Año,,,31.2
Nuevos Negocios,Seguridad,TrendMicro,182575,Cloud App Security 2 Años,,,38.4
Nuevos Negocios,Seguridad,TrendMicro,182581,Cloud App Security 1 Año,,,38.4
Nuevos Negocios,Seguridad,TrendMicro,183793,Email Security Standard 2 Años,,,36.0
Nuevos Negocios,Seguridad,TrendMicro,183799,Email Security Standard 1 Año,,,36.0
Nuevos Negocios,Seguridad,VSDM,284009,Mobile Essentials 36 Meses/UEM Essentials 36 Meses/Advanced 36 Meses/Standard 36 Meses/Desktop Essentials 36 Meses,,,4.2
Nuevos Negocios,Seguridad,VSDM,284012,Mobile Essentials 24 Meses/UEM Essentials 24 Meses/Advanced 24 Meses/Standard 24 Meses/Desktop Essentials 24 Meses,,,4.2
Nuevos Negocios,Seguridad,VSDM,284015,Mobile Essentials 12 Meses/UEM Essentials 12 Meses/Advanced 12 Meses/Standard 12 Meses/Desktop Essentials 12 Meses,,,2.52
Nuevos Negocios,Seguridad,VSDM,324656,VSDM Workspace One SME UEM Essentials 12 Meses,,,24.48
Nuevos Negocios,Seguridad,VSDM,324659,VSDM Workspace One SME UEM Essentials 24 Meses,,,40.8
Nuevos Negocios,Seguridad,VSDM,324662,VSDM Workspace One SME UEM Essentials 36 Meses,,,40.8
Nuevos Negocios,Seguridad,VSDM,324728,VSDM Workspace One SME Desktop Essentials 12 Meses,,,21.46
Nuevos Negocios,Seguridad,VSDM,324731,VSDM Workspace One SME Desktop Essentials 24 Meses,,,35.76
Nuevos Negocios,Seguridad,VSDM,324734,VSDM Workspace One SME Desktop Essentials 36 Meses,,,35.76
Nuevos Negocios,Seguridad,VSDM,324740,VSDM Workspace One SME Mobile Essentials 1 Mes,,,2.6
Nuevos Negocios,Seguridad,VSDM,329852,Mobile Essentials 36 Meses/UEM Essentials 36 Meses,,,5.4
Nuevos Negocios,Seguridad,VSDM,329855,Mobile Essentials 24 Meses/UEM Essentials 24 Meses,,,5.4
Nuevos Negocios,Seguridad,VSDM,329858,Mobile Essentials 12 Meses/UEM Essentials 12 Meses,,,3.24
Nuevos Negocios,Seguridad,VSDM,360032,VSDM Workspace One SME Mobile Essentials 12 Meses,,,15.91
Nuevos Negocios,Seguridad,VSDM,360035,VSDM Workspace One SME Mobile Essentials 24 Meses,,,26.52
Nuevos Negocios,Seguridad,VSDM,360038,VSDM Workspace One SME Mobile Essentials 36 Meses,,,26.52
Nuevos Negocios,Seguridad,VSDM,360353,Advanced 36 Meses/Standard 36 Meses,,,24.0
Nuevos Negocios,Seguridad,VSDM,361571,Mobile Essentials 12 Meses/UEM Essentials 12 Meses/Desktop Essentials 12 Meses,,,5.04
Nuevos Negocios,Seguridad,VSDM,361580,Advanced 24 Meses/Standard 24 Meses,,,24.0
Nuevos Negocios,Seguridad,VSDM,362897,Advanced 12 Meses/Standard 12 Meses,,,14.4
Nuevos Negocios,Seguridad,VSDM,362914,Mobile Essentials 36 Meses/UEM Essentials 36 Meses/Desktop Essentials 36 Meses,,,24.0
Nuevos Negocios,Seguridad,VSDM,362915,Mobile Essentials 24 Meses/UEM Essentials 24 Meses/Desktop Essentials 24 Meses,,,24.0
Nuevos Negocios,Seguridad,VSDM,362916,Mobile Essentials 12 Meses/UEM Essentials 12 Meses/Desktop Essentials 12 Meses,,,14.4
Nuevos Negocios,Seguridad,VSDM,362927,Mobile Essentials 36 Meses/UEM Essentials 36 Meses/Desktop Essentials 36 Meses,,,8.4
Nuevos Negocios,Seguridad,VSDM,362928,Mobile Essentials 24 Meses/UEM Essentials 24 Meses/Desktop Essentials 24 Meses,,,8.4
Nuevos Negocios,Soporte IT,Soporte IT,63458,Red Empresa Soporte IT 20,,,1680.0
Nuevos Negocios,Soporte IT,Soporte IT,63462,Red Empresa Soporte IT 30,,,2640.0
Nuevos Negocios,Soporte IT,Soporte IT,63466,Red Empresa Soporte IT 40,,,3840.0
Nuevos Negocios,Soporte IT,Soporte IT,63470,Red Empresa Soporte IT 60,,,4920.0
Nuevos Negocios,Soporte IT,Soporte IT,63474,Red Empresa Soporte IT 80,,,7200.0
Nuevos Negocios,Soporte IT,Soporte IT,63478,Red Empresa Soporte IT 100,,,8880.0
Nuevos Negocios,Soporte IT,Soporte IT,95823,Addone Soporte IT SOPORTE SERVIDORES,,,224.0
Nuevos Negocios,Soporte IT,Soporte IT,95827,Addone Soporte IT SEDE EXTRA,,,17.0
Nuevos Negocios,Soporte IT,Worry Free,81358,RED Infinity Worry Free Soporte IT 20,,,2160.0
Nuevos Negocios,Soporte IT,Worry Free,81362,RED Infinity Worry Free Soporte IT 30,,,3540.0
Nuevos Negocios,Soporte IT,Worry Free,81366,RED Infinity Worry Free Soporte IT 40,,,5040.0
Nuevos Negocios,Soporte IT,Worry Free,81370,RED Infinity Worry Free Soporte IT 60,,,6120.0
Nuevos Negocios,Soporte IT,Worry Free,81374,RED Infinity Worry Free Soporte IT 80,,,8640.0
Nuevos Negocios,Soporte IT,Worry Free,81378,RED Infinity Worry Free Soporte IT 100,,,10560.0
Nuevos Negocios,Soporte IT,Soporte IT,489819,Soporte IT - Usuario adicional,,,19.2
Nuevos Negocios,Soporte IT,Soporte IT,489820,Soporte IT - Paquete 5 usuarios,,,96.0
Nuevos Negocios,Soporte IT,Soporte IT,489821,Soporte IT - Paquete 20 usuarios,,,324.0
Nuevos Negocios,SSDD,Negocio Digital,160512,Vodafone Business Negocio Digital – Landing Next,,,240.0
Nuevos Negocios,SSDD,Negocio Digital,160515,Vodafone Business Negocio Digital – Web Next,,,720.0
Nuevos Negocios,SSDD,Negocio Digital,180817,Vodafone Business Negocio Digital - E- Commerce,,,996.0
Nuevos Negocios,SSDD,Negocio Digital,466326,Vodafone Business Negocio Digital - Start Next,,,138.0
Nuevos Negocios,SSDD,Negocio Digital,466327,Vodafone Business Negocio Digital - Start Plus Next,,,276.0
Nuevos Negocios,SSDD,Negocio Digital,466328,Vodafone Business Negocio Digital - Redes Lite Next,,,504.0
Nuevos Negocios,SSDD,Negocio Digital,466329,Vodafone Business Negocio Digital - Redes Sociales Next,,,1200.0
Bonos CSG,CSG,,PKFLX,Vodafone RED Infinity Smart,,,6.0
Bonos CSG,CSG,,PKFX2,Vodafone RED Infinity Pro,,,6.0
Bonos CSG,CSG,,PKFXY,RED Infinity Pro,,,6.0
Bonos CSG,CSG,,PK50B,Pack Compartido 50GB (Bono Vodafone RED Infinity),,,11.0
Bonos CSG,CSG,,PK05B,Pack Compartido 5 GB (Bono #OneNet),,,4.0
Bonos CSG,CSG,,PKPRB,Bono Red Infinity Securizado Plus,,,8.0
Bonos CSG,CSG,,PKPRF,Bono Red Infinity Avanzado,,,6.0
Bonos CSG,CSG,,PKPRS,Bono Red Infinity Securizado,,,7.0
Bonos CSG,CSG,,ACI15,Bono 150 Minutos Internacionales Z2 y Z3,,,4.0
Bonos CSG,CSG,,ACI50,Bono 500 Minutos Internacionales Z2 y Z3,,,11.0
Bonos CSG,CSG,,ACI3C,Bono 300 Minutos Internacionales,,,3.0
Bonos CSG,CSG,,ACI5C,Bono 500 Minutos Internacionales,,,4.0
Bonos CSG,CSG,,ACI3Y,RED Infinity Bono 300 min Internacional Z1,,,3.0
Bonos CSG,CSG,,ACI5Y,RED Infinity Bono 500 min Internacional Z1,,,4.0
Bonos CSG,CSG,,AK100,Add on Pack Compartido 100GB,,,11.0
Bonos CSG,CSG,,AK200,Add on Pack Compartido 200GB,,,22.0
CA & SVAs,SVA,APP,62434,ADDON API BEYOND UP 120.000 PETICIONES/MES,,,15.0
CA & SVAs,SVA,APP,62446,ADDON API BEYOND UP 120.000 PETICIONES/MES +,,,15.0
CA & SVAs,SVA,APP,62470,ADDON GESTOR DOCUMENTAL HASTA 500 GB,,,0.75
CA & SVAs,SVA,APP,62478,ADDON GESTOR DOCUMENTAL HASTA 500 GB +,,,0.75
CA & SVAs,SVA,APP,62482,ADDON MAILING 200.000 CORREOS,,,4.5
CA & SVAs,SVA,APP,62486,ADDON MAILING 100.000 CORREOS,,,2.25
CA & SVAs,SVA,APP,62494,ADDON MAILING 200.000 CORREOS +,,,4.5
CA & SVAs,SVA,APP,62498,ADDON MAILING 100.000 CORREOS +,,,2.25
CA & SVAs,SVA,APP,62558,CDR ONE R2,,,0.06
CA & SVAs,SVA,APP,63562,CDR ONE INTERNACIONAL,,,0.01
CA & SVAs,SVA,APP,63566,CDR ONE DATOS,,,0.02
CA & SVAs,SVA,APP,63774,CDR ONE - INTEGRACION CISCO CALL MANAGER,,,95.0
CA & SVAs,SVA,APP,63778,CDR ONE - INTEGRACION ALCATEL OXE,,,95.0
CA & SVAs,SVA,APP,63574,COMPLEMENTO PACK TAREAS+,,,0.13
CA & SVAs,SVA,APP,63782,COMPLEMENTO PACK GPS+,,,0.13
CA & SVAs,SVA,APP,84342,SAWAMBA CATALOGO CON CONEXIÓN CMS,,,2.7
CA & SVAs,SVA,APP,126715,SESAME TIME 750 USUARIOS ANUAL CP,,,53.5
CA & SVAs,SVA,APP,71814,WIFI ON ENTERPRISE - PAGO MENSUAL 12,,,0.05
CA & SVAs,CA,APP,258806,CA Camara MV32,,,9.53
CA & SVAs,CA,APP,258809,CA Camara MV2,,,7.03
CA & SVAs,SVA,APP,258803,CA Camara MV12W,,,8.69
CA & SVAs,SVA,APP,183961,Pack Starter,,,0.05
CA & SVAs,SVA,APP,183964,Pack Business,,,0.25
CA & SVAs,CA,APP,258827,CA Cloud S,,,4.13
CA & SVAs,CA,APP,258824,CA Cloud M,,,13.44
CA & SVAs,SVA,APP,399025,Canal de Denuncias (101-250),,,13.0
CA & SVAs,SVA,APP,397344,Vodafone Gestion Laboral - Time,,,0.18
CA & SVAs,SVA,APP,397345,Vodafone Gestion Laboral - Advanced,,,0.23
CA & SVAs,SVA,APP,397346,Vodafone Gestion Laboral - HR Starter,,,0.3
CA & SVAs,SVA,APP,397347,Vodafone Gestion Laboral - HR Profesional,,,0.35
CA & SVAs,SVA,APP,397274,Vodafone Agro - Estacion,,,11.03
CA & SVAs,SVA,APP,397272,Vodafone Agro - Premium,,,14.28
CA & SVAs,SVA,APP,397273,Vodafone Agro - Enterprise,,,36.74
CA & SVAs,SVA,APP,397275,Vodafone Agro Usuario adicional - Usuario Premium,,,0.19
CA & SVAs,SVA,APP,397276,Vodafone Agro Usuario adicional - Paquete 5 usuarios Enterprise,,,1.78
CA & SVAs,SVA,APP,397277,Vodafone Agro Usuario adicional - Paquete 10 usuarios Enterprise,,,3.38
CA & SVAs,SVA,APP,397278,Vodafone Agro Usuario adicional - Paquete 15 usuarios Enterprise,,,4.8
CA & SVAs,SVA,APP,397279,Vodafone Agro Usuario adicional - Paquete 25 usuarios Enterprise,,,7.05
CA & SVAs,SVA,APP,397280,Vodafone Agro Usuario adicional - Paquete 50 usuarios Enterprise,,,9.4
CA & SVAs,SVA,APP,397281,Vodafone Agro Usuario adicional - Paquete 100 usuarios Enterprise,,,11.28
CA & SVAs,SVA,APP,397282,Vodafone Agro Usuario adicional - Paquete 500 usuarios Enterprise,,,24.45
CA & SVAs,SVA,APP,397283,Vodafone Agro Usuario adicional - Paquete 1000 usuarios Enterprise,,,37.62
CA & SVAs,SVA,APP,60399,Bi2go - MODULO BASE 01,,,3.75
CA & SVAs,SVA,APP,60403,Bi2go - MODULO BASE 02,,,7.5
CA & SVAs,SVA,APP,93889,Bi2go - SAAS 10 AN,,,2.5
CA & SVAs,SVA,APP,60423,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - PACK ACCESO NOMINADO,,,0.25
CA & SVAs,SVA,APP,60419,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - PACK MULTIEMPRESA,,,2.25
CA & SVAs,SVA,APP,60415,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - PACK EMPRESA ADICIONAL,,,0.75
CA & SVAs,SVA,APP,393617,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - LICENCIA PARA USUARIO CONCURRENTE ADICIONAL,,,2.25
CA & SVAs,SVA,APP,393618,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - ACTUALIZACION DEL DATO DIARIA ADICIONAL,,,1.5
CA & SVAs,SVA,APP,393611,Bi2go - MODULO BASE 01/MODULO BASE 02/SAAS 10 AN - ACTUALIZACION DE DATO POR MICROPROCESO PERIODICO CONTINUO DIARIO,,,3.75
CA & SVAs,CA,APP,123953,CA Estándar 2Y,,,10.0
CA & SVAs,CA,APP,157161,Talla S Sec 3Y CA CORPORATE,,,8.08
CA & SVAs,CA,APP,258908,CA Lite,,,4.8
CA & SVAs,CA,APP,258905,CA Estándar +2Y Renovacion PYME,,,6.5
CA & SVAs,SVA,APP,58527,SESAME TIME 20 USUARIOS,,,2.9
CA & SVAs,SVA,APP,58531,SESAME TIME 40 USUARIOS,,,4.9
CA & SVAs,CA,APP,157125,Talla S Sec 2Y CA CORPORATE,,,8.08
CA & SVAs,CA,APP,157164,Talla M Sec 3Y CA CORPORATE,,,37.5
CA & SVAs,SVA,APP,58535,SESAME TIME 70 USUARIOS,,,7.9
CA & SVAs,SVA,APP,62550,CDR ONE,,,0.07
CA & SVAs,SVA,APP,58539,SESAME TIME 99 USUARIOS,,,9.9
CA & SVAs,SVA,APP,126679,SESAME TIME 40 USUARIOS ANUAL CP,,,4.5
CA & SVAs,SVA,APP,126675,SESAME TIME 20 USUARIOS ANUAL CP,,,2.7
CA & SVAs,CA,APP,157143,Talla S 3Y CA CORPORATE,,,8.08
CA & SVAs,CA,APP,157107,Talla S 2Y CA CORPORATE,,,8.08
CA & SVAs,SVA,APP,126695,SESAME TIME 150 USUARIOS,,,14.4
CA & SVAs,SVA,APP,62382,CRM BEYOND UP,,,3.0
CA & SVAs,CA,APP,258845,CA Wifi MR20,,,4.16
CA & SVAs,SVA,APP,126691,SESAME TIME 150 USUARIOS ANUAL CP,,,13.2
CA & SVAs,SVA,APP,126683,SESAME TIME 70 USUARIOS ANUAL CP,,,7.3
CA & SVAs,SVA,APP,126687,SESAME TIME 99 USUARIOS ANUAL CP,,,9.1
CA & SVAs,CA,APP,157170,Talla S Sec HA 3Y CA CORPORATE,,,8.08
CA & SVAs,SVA,APP,62402,CRM BEYOND UP+,,,4.5
CA & SVAs,SVA,APP,123419,TVIDI PYME,,,3.6
CA & SVAs,SVA,APP,126699,SESAME TIME 250 USUARIOS,,,22.9
CA & SVAs,SVA,APP,126711,SESAME TIME 500 USUARIOS,,,39.9
CA & SVAs,CA,APP,157167,Talla L Sec 3Y CA CORPORATE,,,77.0
CA & SVAs,CA,APP,157128,Talla M Sec 2Y CA CORPORATE,,,52.0
CA & SVAs,CA,APP,383253,CONECTIVIDAD AUMENTADA - ESTANDAR (3 años) CA PYME,,,8.5
