bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
CA & SVAs,SVA,APP,470235,Billin Pro – 24 meses,,,0.65
CA & SVAs,SVA,APP,470236,Billin Pro Anual – 24 meses,,,0.75
CA & SVAs,SVA,APP,58743,3G MOBILE SIGN BONO 50,,,0.02
CA & SVAs,SVA,APP,58747,Firma Digital 3G MOBILE SIGN BONO 500,,,0.17
CA & SVAs,SVA,APP,58751,Firma Digital 3G MOBILE SIGN BONO 5.000,,,0.42
CA & SVAs,SVA,APP,181572,Firma Digital 3G mobile sms 200,,,0.01
CA & SVAs,SVA,APP,181575,Firma Digital 3G mobile desarrollo,,,0.17
CA & SVAs,SVA,APP,181581,Firma Digital 3G mobile Certificado,,,0.08
CA & SVAs,SVA,Cloud,337001,Microsoft Teams Essentials NCE,,,0.23
CA & SVAs,SVA,Cloud,337004,Microsoft Teams Essentials NCE Flexible,,,0.04
CA & SVAs,SVA,Seguridad,408863,Seguridad Digital Cisco As a Service Advance,,,6.0
CA & SVAs,SVA,Seguridad,408865,Seguridad Digital Cisco As a Service Premium,,,7.5
CA & SVAs,SVA,Seguridad,408867,Seguridad Digital Cisco As a Service Essential,,,4.67
CA & SVAs,SVA,Seguridad,457973,Seguridad Digital Plus (Empleado) - 24 meses,,,0.5
CA & SVAs,SVA,Seguridad,457974,Seguridad Digital Plus (Empresa) - 24 meses,,,1.86
CA & SVAs,SVA,Seguridad,464950,Seguridad Digital EDR Worry Free Services Advanced 24 Meses (SD +),,,0.3
CA & SVAs,CA,APP,474802,Talla M Lite CA CORPORATE,,,12.5
CA & SVAs,SVA,APP-IoT,479181,Licencia Básico - Flotas IoT - 36 meses,,,0.9
CA & SVAs,SVA,APP-IoT,479182,Licencia Mini - Flotas IoT - 36 meses,,,0.6
CA & SVAs,SVA,APP-IoT,479186,Tacogest+ - Aplicaciones,,,0.13
CA & SVAs,SVA,Seguridad,479203,Seguridad Digital Plus SOC (Empresa Premium) - 24 meses,,,6.87
CA & SVAs,SVA,Seguridad,479202,Seguridad Digital Plus SOC (Empresa Avanzado) - 24 meses,,,2.72
CA & SVAs,SVA,Seguridad,479204,Seguridad Digital Plus SOC - 24 meses,,,0.35
